,stm_bus_stop_id,stm_bus_stop_name,stm_bus_stop_code,stm_bus_stop_location_type,stm_bus_stop_latitude,stm_bus_stop_longitude,stm_bus_stop_is_wheelchair_accessible,stm_bus_stop_is_active
1101,50652,Charland / De Lorimier,50652,Stop,45.567616,-73.642381,True,True
1102,50653,Charland / De Lorimier,50653,Stop,45.567366,-73.642432,True,True
1103,50654,Victoria / Mackenzie,50654,Stop,45.497342,-73.64409,True,True
1104,50655,Victoria / Mackenzie,50655,Stop,45.497348,-73.644547,True,True
1105,50656,Crémazie / de l'Esplanade,50656,Stop,45.538652,-73.643911,True,True
1106,50657,Crémazie / de l'Esplanade,50657,Stop,45.53864,-73.643134,True,True
1107,50658,Clanranald / Van Horne,50658,Stop,45.486946,-73.644339,True,True
1108,50659,Van Horne / Clanranald,50659,Stop,45.487088,-73.644471,True,True
1109,50660,Van Horne / Clanranald,50660,Stop,45.486828,-73.644534,True,True
1110,50661,Fielding / Rosedale,50661,Stop,45.465488,-73.644978,True,True
1111,50662,Fielding / Rosedale,50662,Stop,45.465209,-73.644944,True,True
1112,50663,Barclay / de Westbury,50663,Stop,45.493127,-73.644019,True,True
1113,50664,Crémazie / Clark,50664,Stop,45.541009,-73.6424,True,True
1114,50665,Crémazie / Clark,50665,Stop,45.54089,-73.641686,True,True
1115,50666,Sauvé / D'Iberville,50666,Stop,45.573188,-73.641641,True,True
1116,50667,Sauvé / D'Iberville,50667,Stop,45.572946,-73.641661,True,True
1117,50668,Saint-Laurent / Crémazie,50668,Stop,45.542509,-73.641199,True,True
1118,50669,Crémazie / Saint-Laurent,50669,Stop,45.542561,-73.641436,True,True
1119,50670,Saint-Laurent / Crémazie,50670,Stop,45.541112,-73.641811,True,True
1120,50671,Crémazie / Saint-Laurent,50671,Stop,45.541899,-73.641045,True,True
1121,50673,Somerled / Doherty,50673,Stop,45.459851,-73.644585,True,True
1122,50674,Somerled / Doherty,50674,Stop,45.459598,-73.644618,True,True
1123,50675,Jeanne-Mance / Bellarmin,50675,Stop,45.536073,-73.642322,True,True
1124,50676,Champagneur / de Liège,50676,Stop,45.532048,-73.642316,True,True
1125,50677,Randall / Chester,50677,Stop,45.472529,-73.644315,True,True
1126,50678,Lajeunesse / Émile-Journault,50678,Stop,45.547588,-73.641717,True,True
1127,50679,Émile-Journault / Lajeunesse,50679,Stop,45.547826,-73.641892,True,True
1128,50680,Plamondon / Barclay,50680,Stop,45.492373,-73.644044,True,True
1129,50681,Crémazie / de Reims,50681,Stop,45.539811,-73.64238,True,True
1130,50682,de Liège / De L'Épée,50682,Stop,45.533273,-73.641852,True,True
1131,50683,Barclay / Lemieux,50683,Stop,45.49454,-73.642912,True,True
1132,50684,Van Horne / Coolbrook,50684,Stop,45.48867,-73.643039,True,True
1133,50685,Sauvé / Sackville,50685,Stop,45.574586,-73.640468,True,True
1134,50686,Sauvé / Sackville,50686,Stop,45.574309,-73.640517,True,True
1135,50687,Émile-Journault / Millen,50687,Stop,45.549086,-73.641041,True,True
1136,50688,Fielding / Walkley,50688,Stop,45.467638,-73.643292,True,True
1137,50689,Fielding / Walkley,50689,Stop,45.467262,-73.643357,True,True
1138,50690,Victoria / Bouchette,50690,Stop,45.496469,-73.642183,True,True
1139,50691,Victoria / Bouchette,50691,Stop,45.496493,-73.642564,True,True
1140,50693,Jean-Talon / de la Côte-des-Neiges,50693,Stop,45.505561,-73.64206,True,True
